srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
149.171.126.18,47439,175.45.176.1,53,udp,INT,2e-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1421932424,1421932424,0.002,0.0,0.0,0.0,0.0,0,0,0.0,0,0,10,10,4,4,4,3,4,0,0
59.166.0.8,25581,149.171.126.7,25,tcp,FIN,0.444819,37288,3380,31,29,18,8,-,657723.6875,59349.98047,52,42,255,255,4244790813,2100389926,717,80,0,0,742.856551,25.25116,1421945142,1421945143,8.715216,10.835756,0.000696,0.000549,0.000147,0,0,0.0,0,0,26,8,8,27,4,4,4,0,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252699,1424252699,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,24,24,16,16,16,16,24,4,1
59.166.0.4,54589,149.171.126.9,63220,tcp,FIN,0.368048,3302,40690,31,29,7,21,-,70447.32813,868669.25,54,56,255,255,599383142,599688976,61,727,0,0,408.120356,398.937059,1421959363,1421959364,6.938095,6.680763,0.000742,0.000605,0.000137,0,0,0.0,0,0,8,6,1,3,1,1,1,0,0
59.166.0.4,7964,149.171.126.0,6550,tcp,FIN,0.401523,5016,3080,31,29,7,7,-,96373.0625,59334.08594,28,30,255,255,2678266284,562880292,179,103,0,0,842.164573,21.357324,1421944982,1421944982,14.859666,13.825689,0.000732,0.000574,0.000158,0,0,0.0,0,0,8,16,17,8,4,4,8,0,0
59.166.0.2,51597,149.171.126.8,5190,tcp,FIN,0.2188,2918,17186,31,29,8,11,-,104058.5078,609908.625,40,34,255,255,958097599,3103873420,73,505,0,0,708.107885,771.028751,1421936647,1421936647,5.610256,6.607909,0.000769,0.000592,0.000177,0,0,0.0,0,0,1,3,1,1,1,1,1,0,0
149.171.126.12,47439,175.45.176.0,53,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424225027,1424225027,0.008,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,9,9,8,8,8,8,9,0,0
149.171.126.14,1043,175.45.176.1,53,udp,INT,5e-06,264,0,60,0,0,0,dns,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424253678,1424253678,0.005,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,37,37,23,23,23,23,37,0,0
59.166.0.9,23158,149.171.126.0,21234,tcp,FIN,0.013827,2750,28086,31,29,7,16,-,1555218.125,15897013.0,44,46,255,255,1804326050,1813657448,63,611,0,0,17.961913,17.152197,1421970296,1421970296,0.314047,0.295333,0.000692,0.000532,0.00016,0,0,0.0,0,0,6,6,1,4,1,1,1,0,0
59.166.0.6,52039,149.171.126.2,80,tcp,FIN,1.104988,1580,10168,31,29,3,5,http,10490.61231,69531.97656,12,18,255,255,1223979258,1225010481,132,565,1,3924,9813.646767,7902.503758,1424244392,1424244394,100.421635,64.967173,0.000671,0.000542,0.000129,0,0,1.0,0,-1,2,1,6,4,1,1,1,0,0
59.166.0.1,11360,149.171.126.0,3285,tcp,FIN,0.069017,3718,49932,31,29,7,24,-,424127.375,5691351.5,62,60,255,255,3943211051,1798118035,60,832,0,0,71.825526,1.993742,1424222253,1424222253,1.126098,1.179707,0.00073,0.000585,0.000145,0,0,0.0,0,-1,7,3,3,4,1,1,1,0,0
10.40.182.6,138,10.40.182.255,138,udp,INT,0.000108,503,0,64,0,0,0,-,18666666.0,0.0,2,0,0,0,0,0,252,0,0,0,0.0,0.0,1424255693,1424255693,0.108,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,29,29,29,29,29,29,29,0,0
59.166.0.8,53625,149.171.126.5,6881,tcp,FIN,3.952174,1540,1644,31,29,4,4,-,2922.948242,3143.586426,16,18,255,255,778434636,2618347662,96,91,0,0,18309.89594,448.161844,1421927444,1421927448,263.455742,230.173937,0.039994,0.039216,0.000778,0,0,0.0,0,0,6,9,9,5,3,1,2,0,0
59.166.0.7,19780,149.171.126.8,80,tcp,FIN,1.007238,1684,10168,31,29,3,5,http,12422.08887,76279.88281,14,18,255,255,4294035151,2145934168,120,565,1,3924,8774.918559,7683.336843,1421959928,1421959929,77.451,59.214882,0.000709,0.000576,0.000133,0,0,1.0,0,0,3,4,4,2,1,1,1,0,0
59.166.0.8,58216,149.171.126.9,27200,tcp,FIN,0.374612,4344,3080,31,29,7,7,-,89457.89063,63596.46875,28,30,255,255,1302194698,3519439300,155,103,0,0,728.51749,18.016313,1424228132,1424228133,13.863222,12.901414,0.000583,0.000468,0.000115,0,0,0.0,0,-1,10,12,4,4,1,1,8,0,0
59.166.0.5,28724,149.171.126.9,53,udp,CON,0.00104,130,162,31,29,0,0,dns,500000.0,623076.9375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424235707,1424235707,0.01,0.006,0.0,0.0,0.0,0,0,0.0,0,-1,2,2,5,1,1,1,2,0,0
